_ResponseID,_START,_END,Time,ETHICS_ethics_time,AGE,GENDER,COUNTRY,CROWDWORK_IMPORTANCE,CROWDWORK_DAYSPERWEEK,,,CROWDWORK_TIMEPERDAY,CROWDWORK_USDPERDAY,CROWDWORK_HOWLONG,HOUSEHOLD_INCOME,FAIR_AMOUNT,FAIR_TREATMENT_REQUESTER,FAIR_TREATMENT_PLATFORM,FAIR_OVERALL,ALLOW_BioViz,CHARGE_BioViz,QUESTIONS_BioViz,REASONS_BioViz,ALLOW_MediRay,CHARGE_MediRay,QUESTIONS_MediRay,REASONS_MediRay,ALLOW_Rare Disease Research Lab,CHARGE_Rare Disease Research Lab,QUESTIONS_Rare Disease Research Lab,REASONS_Rare Disease Research Lab,ALLOW_Diagnostico Unido,CHARGE_Diagnostico Unido,QUESTIONS_Diagnostico Unido,REASONS_Diagnostico Unido
299,31/05/19 23:28,31/05/19 23:48,30/12/99 00:19,31/05/19 23:48,36,Male,India,Money from crowd work is a way for me to pay for nice extras,5 days per week,,2,2 hrs,1 dollar,About 1 year,"30,001 - 40,000 USD","Sometimes, about 50:50","Sometimes, about 50:50",Most of the time,Most of the time,"Yes, probably",$8000000,How much profit is expected after 5 years.,"They not only paying decent amount to workers, but are also during charity. Win Win situation.","Yes, probably",$10000000,How much profit is expected after 5 years and would they provide royalties to the crowd worker.,"They are going to make huge profits going forward, so they should be ready to spend more.","No, probably not",$10000000,Why are they sharing findings for free?,Crowd workers have worked hard for this data and should be rightly paid for their work,"No, definitely not",$10000000,How much profit is expected after 5 years and would they provide royalties to the crowd worker.,"MediRay is paying more than Diagnostico Unido, so there is not question of handing the data to Diagnostic Unido."
300,31/05/19 23:29,31/05/19 23:47,30/12/99 00:18,31/05/19 23:47,33,Female,Egypt,Money from crowd work is sometimes necessary to make basic ends meet,7 days per week,,3,3 hours,4,About 3 years,"10,000 USD or less","Sometimes, about 50:50",Most of the time,"Yes, almost all of the time",Most of the time,"Yes, definitely",150000,These images should be used to treat diseases actually,To be paid to crowd workers,"Yes, definitely",200000,no thing,because it is a medical imaging company,"Yes, probably",200000,no thing,because it is part of a University medical research centre,"Yes, definitely",150000,"This would be of benefit to patients
",To be paid to crowd workers
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MIN,20,,,7 days per week,14,MIN,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAX,53,,,5 days per week,10,MAX,16,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MEAN,31.58,,,2 days per week,3,MEAN,6.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ST DEV,8.46,,,3 days per week,3,ST DEV,3.71,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6 days per week,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Male,23,,1 day per week,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Female,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Turkey,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Venezuela,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Russian Federation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Canada,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,India,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vietnam,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Peru,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Serbia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Brazil,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Morocco,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Macedonia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ukraine,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Italy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Nigeria,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,United States,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Egypt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Money from crowd work is a way for me to pay for nice extras,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Money from crowd work is always necessary to make basic ends meet,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Money from crowd work is sometimes necessary to make basic ends meet,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Money from crowd work is nice, but doesn’t really change my circumstances",2,,,,,,,,,,,,,,,,,,,,,,,,,,,
